ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
107-V	HSK 3	矮	ǎi	petit (taille)	很矮 - hěn ǎi - très bas<br>他很矮 - tā hěn ǎi - Il est très petit<br>这个桌子太矮了 - zhège zhuōzi tài ǎi le - Cette table est trop basse<br>矮一点儿 - ǎi yìdiǎnr - un peu plus bas<br>山不高，很矮 - shān bù gāo, hěn ǎi - La montagne n'est pas très haute, elle est très basse	adjectif,quotidien	[sound:hsk1_矮.wav]
1945-V	HSK 3	爱人	àiren	conjoint, époux/épouse	你爱人在哪儿工作？ - nǐ àiren zài nǎr gōngzuò? - Où travaille ton conjoint ?<br>我爱人是老师 - wǒ àiren shì lǎoshī - Mon conjoint est professeur<br>这是我爱人 - zhè shì wǒ àiren - Voici mon époux/épouse	nom,famille,relation	[sound:hsk3_爱人.wav]
826-V	HSK 3	安静	ānjìng	calme	很安静 - hěn ānjìng - Très calme<br>请安静 - qǐng ānjìng - S'il vous plaît, soyez silencieux<br>安静的地方 - ānjìng de dìfang - Endroit calme	adjectif	[sound:hsk1_安静.wav]
1117-V	HSK 3	安全	ānquán	sécurité, sûr	注意安全 - zhùyì ānquán - Attention à la sécurité.<br>安全带 - ānquándài - ceinture de sécurité<br>安全问题 - ānquán wèntí - problème de sécurité	sécurité	[sound:hsk1_安全.wav]
695-V	HSK 3	阿姨	āyí	tante, madame	阿姨好 - āyí hǎo - Tante bien<br>阿姨请进 - āyí qǐng jìn - Tante, entrez s'il vous plaît<br>这位阿姨很热情 - zhè wèi āyí hěn rèqíng - Cette tante est très accueillante	famille,politesse	[sound:hsk1_阿姨.wav]
1087-V	HSK 3	把	bǎ	(particule marquant l'objet)	把门关上 - bǎ mén guānshàng - Ferme la porte.<br>把书给我 - bǎ shū gěi wǒ - Donne-moi le livre.<br>把它放好 - bǎ tā fànghǎo - Pose-le bien.	grammaire	[sound:hsk1_把.wav]
1946-V	HSK 3	办	bàn	faire, gérer, s'occuper de	办事 - bànshì - Faire des démarches<br>这件事怎么办？ - zhè jiàn shì zěnme bàn? - Comment faire avec cette affaire ?<br>我要去办签证 - wǒ yào qù bàn qiānzhèng - Je dois faire mon visa	verbe,action,administration	[sound:hsk3_办.wav]
1169-V	HSK 3	搬	bān	déménager	搬家 - bān jiā - emménager<br>搬东西 - bān dōngxi - porter des affaires<br>搬进来 - bān jìnlái - porter à l'intérieur	verbe	[sound:hsk1_搬.wav]
1947-V	HSK 3	办法	bànfǎ	méthode, solution	有没有办法？ - yǒu méiyǒu bànfǎ? - Y a-t-il une solution ?<br>我有办法 - wǒ yǒu bànfǎ - J'ai une solution<br>没办法 - méi bànfǎ - Pas moyen, impossible	nom,solution,moyen	[sound:hsk3_办法.wav]
1948-V	HSK 3	办公室	bàngōngshì	bureau (lieu)	办公室在三楼 - bàngōngshì zài sān lóu - Le bureau est au 3e étage<br>我的办公室很小 - wǒ de bàngōngshì hěn xiǎo - Mon bureau est petit<br>请到办公室来 - qǐng dào bàngōngshì lái - Venez au bureau s'il vous plaît	nom,travail,lieu	[sound:hsk3_办公室.wav]
1949-V	HSK 3	帮助	bāngzhù	aider, aide	谢谢你的帮助 - xièxie nǐ de bāngzhù - Merci pour ton aide<br>我可以帮助你 - wǒ kěyǐ bāngzhù nǐ - Je peux t'aider<br>他经常帮助别人 - tā jīngcháng bāngzhù biérén - Il aide souvent les autres	verbe,nom,entraide	[sound:hsk3_帮助.wav]
1950-V	HSK 3	班级	bānjí	classe (scolaire)	你在哪个班级？ - nǐ zài nǎge bānjí? - Tu es dans quelle classe ?<br>我们班级有三十人 - wǒmen bānjí yǒu sānshí rén - Notre classe a trente personnes<br>班级活动 - bānjí huódòng - Activité de classe	nom,école,groupe	[sound:hsk3_班级.wav]
1951-V	HSK 3	搬家	bānjiā	déménager	我下个月搬家 - wǒ xià gè yuè bānjiā - Je déménage le mois prochain<br>搬家很累 - bānjiā hěn lèi - Déménager est fatigant<br>他刚搬家 - tā gāng bānjiā - Il vient de déménager	verbe,maison,changement	[sound:hsk3_搬家.wav]
338-V	HSK 3	半天	bàntiān	demi-journée, longtemps	等了半天 - děng le bàntiān - attends depuis longtemps<br>半天时间 - bàntiān shíjiān - moitié journée<br>忙了半天 - máng le bàntiān - marcher toute la moitié journée	temps,quotidien	[sound:hsk1_半天.wav]
1952-V	HSK 3	饱	bǎo	rassasié, plein	我吃饱了 - wǒ chī bǎo le - Je suis rassasié<br>你吃饱了吗？ - nǐ chī bǎo le ma? - Tu as assez mangé ?<br>吃得很饱 - chī de hěn bǎo - Manger à satiété	adjectif,nourriture,état	[sound:hsk3_饱.wav]
722-V	HSK 3	报纸	bàozhǐ	journal	看报纸 - kàn bàozhǐ - Lire le journal<br>买报纸 - mǎi bàozhǐ - Acheter le journal<br>今天的报纸 - jīntiān de bàozhǐ - Le journal d'aujourd'hui	media,quotidien	[sound:hsk1_报纸.wav]
1088-V	HSK 3	被	bèi	par (passif)	被他看到 - bèi tā kàndào - Était vu par lui.<br>被偷了 - bèi tōu le - A été volé.<br>被邀请 - bèi yāoqǐng - A été invité.	grammaire	[sound:hsk1_被.wav]
333-V	HSK 3	北	běi	nord	北边 - běibian - au nord<br>往北走 - wǎng běi zǒu - aller vers le nord<br>北京在北边 - běijīng zài běibian - 北京 est au nord	direction,lieu	[sound:hsk1_北.wav]
1953-V	HSK 3	北方	běifāng	le Nord (de la Chine)	北方很冷 - běifāng hěn lěng - Il fait froid dans le Nord<br>我是北方人 - wǒ shì běifāng rén - Je suis du Nord<br>北方冬天下雪 - běifāng dōngtiān xià xuě - Il neige en hiver dans le Nord	nom,géographie,direction	[sound:hsk3_北方.wav]
1954-V	HSK 3	变	biàn	changer, devenir	天气变了 - tiānqì biàn le - Le temps a changé<br>他变瘦了 - tā biàn shòu le - Il a maigri<br>情况变好了 - qíngkuàng biàn hǎo le - La situation s'est améliorée	verbe,changement,état	[sound:hsk3_变.wav]
1496-V	HSK 3	遍	biàn	fois (complet)	再说一遍 - zài shuō yí biàn - Répétez encore<br>看了三遍 - kàn le sān biàn - je l'ai lu trois fois<br>重复一遍 - chóngfù yí biàn - répétez une fois de plus	classificateur	[sound:hsk1_遍.wav]
1955-V	HSK 3	变成	biànchéng	devenir, se transformer en	他变成了老师 - tā biànchéng le lǎoshī - Il est devenu professeur<br>水变成了冰 - shuǐ biànchéng le bīng - L'eau s'est transformée en glace<br>梦想变成了现实 - mèngxiǎng biànchéng le xiànshí - Le rêve est devenu réalité	verbe,changement,transformation	[sound:hsk3_变成.wav]
1956-V	HSK 3	变化	biànhuà	changement, évolution	变化很大 - biànhuà hěn dà - Le changement est grand<br>城市的变化 - chéngshì de biànhuà - L'évolution de la ville<br>这里变化很大 - zhèlǐ biànhuà hěn dà - Cet endroit a beaucoup changé	nom,verbe,changement	[sound:hsk3_变化.wav]
1275-V	HSK 3	表演	biǎoyǎn	performance	精彩表演 - jīngcǎi biǎoyǎn - EXÉCUTION EXCELLENT<br>表演节目 - biǎoyǎn jiémù - PROGRAMME D'EXÉCUTION<br>艺术表演 - yìshù biǎoyǎn - performances artistiques	loisir	[sound:hsk1_表演.wav]
405-V	HSK 3	别的	biéde	autre	别的东西 - biéde dōngxi - d'autres choses<br>别的人 - biéde rén - d'autres personnes<br>还有别的吗？ - hái yǒu biéde ma? - y a-t-il d'autres choses ?	pronom,quantité	[sound:hsk1_别的.wav]
