ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
11483-V	HSK 2	啊	a	particle for confirmation; "alright; I see" (often at end)	好啊 - hǎo a! - Great!<br>行啊 - xíng a! - Alright!<br>真的啊 - zhēn de a - Oh really, I see.	grammar	[sound:hsk1_啊.wav]
355-V	HSK 2	爱好	àihào	hobby; passion	你有什么爱好？ - nǐ yǒu shénme àihào? - What are your hobbies?<br>我的爱好是看书和游泳 - wǒ de àihào shì kànshū hé yóuyǒng - My hobbies are reading and swimming<br>他的爱好很多 - tā de àihào hěn duō - He has lots of hobbies<br>画画是我最大的爱好 - huàhuà shì wǒ zuì dà de àihào - Drawing is my biggest passion<br>你们有共同的爱好吗？ - nǐmen yǒu gòngtóng de àihào ma? - Do you have hobbies in common?	noun,leisure	[sound:hsk1_爱好.wav]
1880-V	HSK 2	白色	báisè	white (color)	白色的猫 - báisè de māo - A white cat<br>我喜欢白色 - wǒ xǐhuan báisè - I like white<br>她穿着白色的裙子 - tā chuān zhe báisè de qúnzi - She's wearing a white skirt	noun,color	[sound:hsk2_白色.wav]
1881-V	HSK 2	班	bān	class; team; shift	上班 - shàngbān - Go to work<br>你在几班？ - nǐ zài jǐ bān? - Which class are you in?<br>我们班有三十个学生 - wǒmen bān yǒu sānshí gè xuésheng - Our class has thirty students	noun,school,work	[sound:hsk2_班.wav]
028-V	HSK 2	帮	bāng	to help	帮忙 - bāng máng - Help<br>你能帮我吗？ - nǐ néng bāng wǒ ma? - Can you help me?<br>我来帮你 - wǒ lái bāng nǐ - I'll come help you<br>谢谢你帮我 - xièxie nǐ bāng wǒ - Thanks for helping me<br>需要帮忙吗？ - xūyào bāng máng ma? - Need help?	verb,politeness,daily	[sound:hsk1_帮.wav]
533-V	HSK 2	帮忙	bāngmáng	to help	能帮我个忙吗？ - néng bāng wǒ ge máng ma? - Can you do me a favor?<br>谢谢你帮忙！ - xièxie nǐ bāngmáng! - Thanks for your help!<br>他总是帮别人的忙 - tā zǒngshì bāng biérén de máng - He always helps others<br>需要帮忙的话告诉我 - xūyào bāngmáng dehuà gàosu wǒ - Let me know if you need help<br>你帮了我大忙 - nǐ bāng le wǒ dà máng - You did me a huge favor	verb,daily	[sound:hsk1_帮忙.wav]
322-V	HSK 2	包	bāo	bag; package	你的包在哪儿？ - nǐ de bāo zài nǎr? - Where's your bag?<br>这个包多少钱？ - zhège bāo duōshao qián? - How much is this bag?<br>我的书包很重 - wǒ de shūbāo hěn zhòng - My schoolbag is very heavy<br>帮我拿一下包 - bāng wǒ ná yíxià bāo - Hold my bag for a moment<br>包里有什么？ - bāo lǐ yǒu shénme? - What's in the bag?	noun,object	[sound:hsk1_包.wav]
1882-V	HSK 2	本子	běnzi	notebook	一个本子 - yí gè běnzi - A notebook<br>我的本子在哪儿？ - wǒ de běnzi zài nǎr? - Where's my notebook?<br>请在本子上写字 - qǐng zài běnzi shàng xiězì - Please write in the notebook	noun,school,writing	[sound:hsk2_本子.wav]
288-V	HSK 2	比	bǐ	to compare	他比我高 - tā bǐ wǒ gāo - He's taller than me<br>今天比昨天冷 - jīntiān bǐ zuótiān lěng - It's colder today than yesterday<br>坐地铁比开车快 - zuò dìtiě bǐ kāichē kuài - The subway is faster than driving<br>你的中文比以前好多了 - nǐ de zhōngwén bǐ yǐqián hǎo duō le - Your Chinese is much better than before<br>北京比上海大 - běijīng bǐ shànghǎi dà - Beijing is bigger than Shanghai	grammar,daily	[sound:hsk1_比.wav]
726-V	HSK 2	笔	bǐ	pen	你有笔吗？ - nǐ yǒu bǐ ma? - Do you have a pen?<br>借我一支笔 - jiè wǒ yì zhī bǐ - Lend me a pen<br>这支笔写不出来了 - zhè zhī bǐ xiě bù chūlái le - This pen doesn't write anymore<br>我忘了带笔 - wǒ wàng le dài bǐ - I forgot my pen<br>用铅笔还是圆珠笔？ - yòng qiānbǐ háishi yuánzhūbǐ? - Pencil or ballpoint pen?	study,daily	[sound:hsk1_笔.wav]
1883-V	HSK 2	别1	bié	don't!; other; leave	别走 - bié zǒu - Don't go<br>别担心 - bié dānxīn - Don't worry<br>别忘了带钥匙 - bié wàng le dài yàoshi - Don't forget the keys<br>我不要别的 - wǒ bù yào bié de - I don't want anything else<br>别人说什么？ - bié rén shuō shénme? - What do others say?	verb,negation,grammar	[sound:hsk2_别.wav]
1884-V	HSK 2	不好意思	bù hǎoyìsi	sorry; excuse me; embarrassed	不好意思 - bù hǎoyìsi - Excuse me<br>不好意思，我迟到了 - bù hǎoyìsi, wǒ chídào le - Sorry, I'm late<br>让你等了，真不好意思 - ràng nǐ děng le, zhēn bù hǎoyìsi - Sorry for keeping you waiting	expression,politeness,apology	[sound:hsk2_不好意思.wav]
