ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
107-V	HSK 3	矮	ǎi	short (height)	很矮 - hěn ǎi - very short<br>他很矮 - tā hěn ǎi - He is very short<br>这个桌子太矮了 - zhège zhuōzi tài ǎi le - This table is too low<br>矮一点儿 - ǎi yìdiǎnr - a little shorter<br>山不高，很矮 - shān bù gāo, hěn ǎi - The mountain is not tall, it is very short	adjective,daily	[sound:hsk1_矮.wav]
1945-V	HSK 3	爱人	àiren	spouse; husband; wife	你爱人在哪儿工作？ - nǐ àiren zài nǎr gōngzuò? - Where does your spouse work?<br>我爱人是老师 - wǒ àiren shì lǎoshī - My spouse is a teacher<br>这是我爱人 - zhè shì wǒ àiren - This is my husband/wife	noun,family,relationship	[sound:hsk3_爱人.wav]
826-V	HSK 3	安静	ānjìng	quiet; calm	很安静 - hěn ānjìng - Very quiet<br>请安静 - qǐng ānjìng - Please be quiet<br>安静的地方 - ānjìng de dìfang - A quiet place	adjective	[sound:hsk1_安静.wav]
1117-V	HSK 3	安全	ānquán	safety; safe	注意安全 - zhùyì ānquán - Watch out for safety.<br>安全带 - ānquándài - seatbelt<br>安全问题 - ānquán wèntí - safety issue	safety	[sound:hsk1_安全.wav]
695-V	HSK 3	阿姨	āyí	aunt; ma'am	阿姨好 - āyí hǎo - Hello auntie<br>阿姨请进 - āyí qǐng jìn - Auntie, please come in<br>这位阿姨很热情 - zhè wèi āyí hěn rèqíng - This lady is very welcoming	family,politeness	[sound:hsk1_阿姨.wav]
1087-V	HSK 3	把	bǎ	(particle marking the object)	把门关上 - bǎ mén guānshàng - Close the door.<br>把书给我 - bǎ shū gěi wǒ - Give me the book.<br>把它放好 - bǎ tā fànghǎo - Put it down properly.	grammar	[sound:hsk1_把.wav]
1946-V	HSK 3	办	bàn	do; handle; take care of	办事 - bànshì - Run errands<br>这件事怎么办？ - zhè jiàn shì zěnme bàn? - What do we do about this matter?<br>我要去办签证 - wǒ yào qù bàn qiānzhèng - I need to get my visa	verb,action,administration	[sound:hsk3_办.wav]
1169-V	HSK 3	搬	bān	move; carry	搬家 - bān jiā - move house<br>搬东西 - bān dōngxi - carry things<br>搬进来 - bān jìnlái - carry inside	verb	[sound:hsk1_搬.wav]
1947-V	HSK 3	办法	bànfǎ	method; solution	有没有办法？ - yǒu méiyǒu bànfǎ? - Is there a solution?<br>我有办法 - wǒ yǒu bànfǎ - I have a solution<br>没办法 - méi bànfǎ - No way, impossible	noun,solution,means	[sound:hsk3_办法.wav]
1948-V	HSK 3	办公室	bàngōngshì	office	办公室在三楼 - bàngōngshì zài sān lóu - The office is on the 3rd floor<br>我的办公室很小 - wǒ de bàngōngshì hěn xiǎo - My office is small<br>请到办公室来 - qǐng dào bàngōngshì lái - Please come to the office	noun,work,place	[sound:hsk3_办公室.wav]
1949-V	HSK 3	帮助	bāngzhù	help; assist	谢谢你的帮助 - xièxie nǐ de bāngzhù - Thank you for your help<br>我可以帮助你 - wǒ kěyǐ bāngzhù nǐ - I can help you<br>他经常帮助别人 - tā jīngcháng bāngzhù biérén - He often helps others	verb,noun,mutual aid	[sound:hsk3_帮助.wav]
1950-V	HSK 3	班级	bānjí	class (school)	你在哪个班级？ - nǐ zài nǎge bānjí? - Which class are you in?<br>我们班级有三十人 - wǒmen bānjí yǒu sānshí rén - Our class has thirty students<br>班级活动 - bānjí huódòng - Class activity	noun,school,group	[sound:hsk3_班级.wav]
1951-V	HSK 3	搬家	bānjiā	move house	我下个月搬家 - wǒ xià gè yuè bānjiā - I'm moving next month<br>搬家很累 - bānjiā hěn lèi - Moving is tiring<br>他刚搬家 - tā gāng bānjiā - He just moved	verb,house,change	[sound:hsk3_搬家.wav]
338-V	HSK 3	半天	bàntiān	half a day; a long time	等了半天 - děng le bàntiān - waited for a long time<br>半天时间 - bàntiān shíjiān - half a day's time<br>忙了半天 - máng le bàntiān - busy for half the day	time,daily	[sound:hsk1_半天.wav]
1952-V	HSK 3	饱	bǎo	full; satisfied (after eating)	我吃饱了 - wǒ chī bǎo le - I'm full<br>你吃饱了吗？ - nǐ chī bǎo le ma? - Have you had enough to eat?<br>吃得很饱 - chī de hěn bǎo - Eat to one's fill	adjective,food,state	[sound:hsk3_饱.wav]
722-V	HSK 3	报纸	bàozhǐ	newspaper	看报纸 - kàn bàozhǐ - Read the newspaper<br>买报纸 - mǎi bàozhǐ - Buy the newspaper<br>今天的报纸 - jīntiān de bàozhǐ - Today's newspaper	media,daily	[sound:hsk1_报纸.wav]
1088-V	HSK 3	被	bèi	by (passive marker)	被他看到 - bèi tā kàndào - Was seen by him.<br>被偷了 - bèi tōu le - Was stolen.<br>被邀请 - bèi yāoqǐng - Was invited.	grammar	[sound:hsk1_被.wav]
333-V	HSK 3	北	běi	north	北边 - běibian - to the north<br>往北走 - wǎng běi zǒu - go north<br>北京在北边 - běijīng zài běibian - Beijing is to the north	direction,place	[sound:hsk1_北.wav]
1953-V	HSK 3	北方	běifāng	the North (of China)	北方很冷 - běifāng hěn lěng - It's cold in the North<br>我是北方人 - wǒ shì běifāng rén - I'm from the North<br>北方冬天下雪 - běifāng dōngtiān xià xuě - It snows in the North in winter	noun,geography,direction	[sound:hsk3_北方.wav]
1954-V	HSK 3	变	biàn	change; become	天气变了 - tiānqì biàn le - The weather has changed<br>他变瘦了 - tā biàn shòu le - He has lost weight<br>情况变好了 - qíngkuàng biàn hǎo le - The situation has improved	verb,change,state	[sound:hsk3_变.wav]
1496-V	HSK 3	遍	biàn	times (complete action)	再说一遍 - zài shuō yí biàn - Say it again<br>看了三遍 - kàn le sān biàn - I read it three times<br>重复一遍 - chóngfù yí biàn - repeat once more	classifier	[sound:hsk1_遍.wav]
1955-V	HSK 3	变成	biànchéng	become; turn into	他变成了老师 - tā biànchéng le lǎoshī - He became a teacher<br>水变成了冰 - shuǐ biànchéng le bīng - Water turned into ice<br>梦想变成了现实 - mèngxiǎng biànchéng le xiànshí - The dream became reality	verb,change,transformation	[sound:hsk3_变成.wav]
1956-V	HSK 3	变化	biànhuà	change; evolution	变化很大 - biànhuà hěn dà - The change is big<br>城市的变化 - chéngshì de biànhuà - The evolution of the city<br>这里变化很大 - zhèlǐ biànhuà hěn dà - This place has changed a lot	noun,verb,change	[sound:hsk3_变化.wav]
