ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
4246-V	HSK 6	岸	àn	rive; berge	河岸 - hé'àn - Berge de la rivière<br>岸上的人 - àn shàng de rén - Les gens sur la rive<br>彼岸 - bǐ'àn - L'autre rive	nom,géographie,nature	[sound:hsk6_岸.wav]
4247-V	HSK 6	昂贵	ángguì	coûteux; cher	昂贵的价格 - ángguì de jiàgé - Un prix élevé<br>这件衣服太昂贵了 - zhè jiàn yīfu tài ángguì le - Ce vêtement est trop cher<br>昂贵的代价 - ángguì de dàijià - Un prix lourd à payer	adjectif,prix,économie	[sound:hsk6_昂贵.wav]
4248-V	HSK 6	案例	ànlì	cas; exemple (juridique)	典型案例 - diǎnxíng ànlì - Cas typique<br>分析案例 - fēnxī ànlì - Analyser un cas<br>成功案例 - chénggōng ànlì - Cas de succès	nom,juridique,travail	[sound:hsk6_案例.wav]
1747-V	HSK 6	按摩	ànmó	massage	做按摩 - zuò ànmó - faire un massage<br>按摩师 - ànmóshī - massothérapeute<br>按摩椅 - ànmóyǐ - siège de massage	santé	[sound:hsk1_按摩.wav]
4249-V	HSK 6	暗示	ànshì	insinuer; sous-entendre	暗示他离开 - ànshì tā líkāi - Lui faire comprendre de partir<br>她的话暗示了什么 - tā de huà ànshì le shénme - Que sous-entendent ses paroles<br>暗示的意思 - ànshì de yìsi - Le sens implicite	verbe,communication,psychologie	[sound:hsk6_暗示.wav]
4250-V	HSK 6	败	bài	perdre; échouer	失败 - shībài - Échouer<br>打败对手 - dǎbài duìshǒu - Vaincre l'adversaire<br>败下阵来 - bài xià zhèn lái - Être vaincu	verbe,compétition,résultat	[sound:hsk6_败.wav]
4251-V	HSK 6	摆	bǎi	placer; disposer; balancer	摆桌子 - bǎi zhuōzi - Mettre la table<br>把花摆好 - bǎ huā bǎi hǎo - Bien disposer les fleurs<br>摆姿势 - bǎi zīshì - Prendre la pose	verbe,action,quotidien	[sound:hsk6_摆.wav]
4252-V	HSK 6	白白	báibái	en vain; pour rien	白白浪费时间 - báibái làngfèi shíjiān - Perdre du temps pour rien<br>不能白白放弃 - bù néng báibái fàngqì - On ne peut pas abandonner en vain<br>白白等了一天 - báibái děng le yì tiān - Avoir attendu toute une journée pour rien	adverbe,résultat,expression	[sound:hsk6_白白.wav]
4253-V	HSK 6	拜访	bàifǎng	rendre visite	拜访朋友 - bàifǎng péngyou - Rendre visite à un ami<br>我去拜访了老师 - wǒ qù bàifǎng le lǎoshī - Je suis allé rendre visite au professeur<br>拜访客户 - bàifǎng kèhù - Rendre visite à un client	verbe,social,communication	[sound:hsk6_拜访.wav]
4254-V	HSK 6	摆放	bǎifàng	disposer; ranger	摆放整齐 - bǎifàng zhěngqí - Ranger soigneusement<br>把书摆放好 - bǎ shū bǎifàng hǎo - Bien ranger les livres<br>摆放家具 - bǎifàng jiājù - Disposer les meubles	verbe,maison,organisation	[sound:hsk6_摆放.wav]
4255-V	HSK 6	百分点	bǎifēndiǎn	point de pourcentage	增长了两个百分点 - zēngzhǎng le liǎng gè bǎifēndiǎn - A augmenté de deux points de pourcentage<br>下降了三个百分点 - xiàjiàng le sān gè bǎifēndiǎn - A baissé de trois points<br>提高百分点 - tígāo bǎifēndiǎn - Augmenter les points de pourcentage	nom,mathématiques,économie	[sound:hsk6_百分点.wav]
4256-V	HSK 6	百货	bǎihuò	marchandises diverses; grand magasin	百货商店 - bǎihuò shāngdiàn - Grand magasin<br>百货公司 - bǎihuò gōngsī - Société de vente au détail<br>百货大楼 - bǎihuò dàlóu - Centre commercial	nom,commerce,shopping	[sound:hsk6_百货.wav]
4257-V	HSK 6	白领	báilǐng	col blanc; employé de bureau	白领阶层 - báilǐng jiēcéng - La classe des cols blancs<br>她是一个白领 - tā shì yí gè báilǐng - Elle est employée de bureau<br>白领工作 - báilǐng gōngzuò - Travail de bureau	nom,travail,société	[sound:hsk6_白领.wav]
4258-V	HSK 6	拜年	bàinián	souhaiter la bonne année	过年拜年 - guònián bàinián - Souhaiter la bonne année pendant le Nouvel An<br>去亲戚家拜年 - qù qīnqi jiā bàinián - Aller chez les proches pour les vœux<br>拜年的习俗 - bàinián de xísú - La coutume des vœux du Nouvel An	verbe,fête,tradition,culture	[sound:hsk6_拜年.wav]
4259-V	HSK 6	摆脱	bǎituō	se débarrasser de; se libérer de	摆脱困境 - bǎituō kùnjìng - Se sortir d'une situation difficile<br>摆脱束缚 - bǎituō shùfù - Se libérer des entraves<br>摆脱贫困 - bǎituō pínkùn - Sortir de la pauvreté	verbe,action,liberté	[sound:hsk6_摆脱.wav]
4260-V	HSK 6	版	bǎn	édition; page	第一版 - dì yī bǎn - Première édition<br>出版 - chūbǎn - Publier<br>头版新闻 - tóubǎn xīnwén - Nouvelles en première page	nom,édition,média	[sound:hsk6_版.wav]
4261-V	HSK 6	版本	bǎnběn	version; édition	最新版本 - zuìxīn bǎnběn - Dernière version<br>不同版本 - bùtóng bǎnběn - Différentes versions<br>更新版本 - gēngxīn bǎnběn - Mettre à jour la version	nom,technologie,édition	[sound:hsk6_版本.wav]
4262-V	HSK 6	棒球	bàngqiú	baseball	打棒球 - dǎ bàngqiú - Jouer au baseball<br>棒球比赛 - bàngqiú bǐsài - Match de baseball<br>棒球队 - bàngqiú duì - Équipe de baseball	nom,sport,loisir	[sound:hsk6_棒球.wav]
4263-V	HSK 6	榜样	bǎngyàng	exemple; modèle	做榜样 - zuò bǎngyàng - Donner l'exemple<br>他是我的榜样 - tā shì wǒ de bǎngyàng - Il est mon modèle<br>学习的榜样 - xuéxí de bǎngyàng - Un modèle d'apprentissage	nom,éducation,morale	[sound:hsk6_榜样.wav]
4264-V	HSK 6	伴随	bànsuí	accompagner; suivre	伴随着音乐 - bànsuí zhe yīnyuè - Accompagné de musique<br>成长伴随着困难 - chéngzhǎng bànsuí zhe kùnnan - La croissance s'accompagne de difficultés<br>伴随终身 - bànsuí zhōngshēn - Accompagner toute la vie	verbe,relation,accompagnement	[sound:hsk6_伴随.wav]
4265-V	HSK 6	扮演	bànyǎn	jouer (un rôle); interpréter	扮演角色 - bànyǎn juésè - Jouer un rôle<br>她扮演了公主 - tā bànyǎn le gōngzhǔ - Elle a joué le rôle de la princesse<br>扮演重要角色 - bànyǎn zhòngyào juésè - Jouer un rôle important	verbe,art,cinéma,théâtre	[sound:hsk6_扮演.wav]
4266-V	HSK 6	爆	bào	exploser; éclater	爆炸 - bàozhà - Exploser<br>气球爆了 - qìqiú bào le - Le ballon a éclaté<br>爆满 - bàomǎn - Être plein à craquer	verbe,action,intensité	[sound:hsk6_爆.wav]
4267-V	HSK 6	爆发	bàofā	éclater; se déclencher	战争爆发了 - zhànzhēng bàofā le - La guerre a éclaté<br>疾病爆发 - jíbìng bàofā - Épidémie<br>火山爆发 - huǒshān bàofā - Éruption volcanique	verbe,événement,conflit	[sound:hsk6_爆发.wav]
4268-V	HSK 6	保管	bǎoguǎn	garder; conserver; être responsable de	保管好你的东西 - bǎoguǎn hǎo nǐ de dōngxi - Garde bien tes affaires<br>保管文件 - bǎoguǎn wénjiàn - Conserver les documents<br>财务保管 - cáiwù bǎoguǎn - Garde financière	verbe,responsabilité,sécurité	[sound:hsk6_保管.wav]
4269-V	HSK 6	保健	bǎojiàn	soin de santé; hygiène	保健品 - bǎojiànpǐn - Produits de santé<br>注意保健 - zhùyì bǎojiàn - Faire attention à sa santé<br>保健知识 - bǎojiàn zhīshi - Connaissances en hygiène	nom,santé,médecine	[sound:hsk6_保健.wav]
4270-V	HSK 6	报刊	bàokān	presse; journaux et revues	报刊杂志 - bàokān zázhì - Journaux et magazines<br>阅读报刊 - yuèdú bàokān - Lire la presse<br>报刊亭 - bàokāntíng - Kiosque à journaux	nom,média,information	[sound:hsk6_报刊.wav]
4271-V	HSK 6	暴力	bàolì	violence	暴力行为 - bàolì xíngwéi - Acte de violence<br>反对暴力 - fǎnduì bàolì - S'opposer à la violence<br>家庭暴力 - jiātíng bàolì - Violence domestique	nom,société,crime	[sound:hsk6_暴力.wav]
4272-V	HSK 6	暴露	bàolù	exposer; révéler; mettre à nu	暴露问题 - bàolù wèntí - Révéler les problèmes<br>暴露在阳光下 - bàolù zài yángguāng xià - Exposé au soleil<br>暴露身份 - bàolù shēnfèn - Révéler son identité	verbe,révélation,sécurité	[sound:hsk6_暴露.wav]
4273-V	HSK 6	保暖	bǎonuǎn	garder au chaud; se protéger du froid	注意保暖 - zhùyì bǎonuǎn - Faire attention à se protéger du froid<br>保暖衣服 - bǎonuǎn yīfu - Vêtements chauds<br>保暖措施 - bǎonuǎn cuòshī - Mesures de protection contre le froid	verbe,santé,vêtement,hiver	[sound:hsk6_保暖.wav]
4274-V	HSK 6	报社	bàoshè	rédaction de journal; maison de presse	报社记者 - bàoshè jìzhě - Journaliste de presse<br>在报社工作 - zài bàoshè gōngzuò - Travailler dans une rédaction<br>报社编辑 - bàoshè biānjí - Éditeur de journal	nom,média,travail	[sound:hsk6_报社.wav]
1553-V	HSK 6	保修	bǎoxiū	garantie	保修期 - bǎoxiūqī - Période de garantie<br>保修服务 - bǎoxiū fúwù - Service de garantie<br>保修范围 - bǎoxiū fànwéi - Portée de la garantie	shopping	[sound:hsk1_保修.wav]
4275-V	HSK 6	爆炸	bàozhà	exploser; explosion	炸弹爆炸了 - zhàdàn bàozhà le - La bombe a explosé<br>爆炸声 - bàozhà shēng - Son d'explosion<br>爆炸事故 - bàozhà shìgù - Accident d'explosion	verbe,nom,danger,événement	[sound:hsk6_爆炸.wav]
4276-V	HSK 6	保障	bǎozhàng	garantir; protéger; garantie	社会保障 - shèhuì bǎozhàng - Sécurité sociale<br>保障权利 - bǎozhàng quánlì - Garantir les droits<br>保障安全 - bǎozhàng ānquán - Garantir la sécurité	verbe,nom,société,droit	[sound:hsk6_保障.wav]
4277-V	HSK 6	被动	bèidòng	passif	被动接受 - bèidòng jiēshòu - Accepter passivement<br>陷入被动 - xiànrù bèidòng - Tomber dans une position passive<br>被动局面 - bèidòng júmiàn - Situation passive	adjectif,attitude,grammaire	[sound:hsk6_被动.wav]
637-V	HSK 6	悲观	bēiguān	pessimiste	很悲观 - hěn bēiguān - très pessimiste<br>悲观的人 - bēiguān de rén - les pessimistes	adjectif	[sound:hsk1_悲观.wav]
4278-V	HSK 6	北极	běijí	pôle Nord; Arctique	北极熊 - běijí xióng - Ours polaire<br>北极圈 - běijí quān - Cercle arctique<br>北极探险 - běijí tànxiǎn - Exploration de l'Arctique	nom,géographie,nature	[sound:hsk6_北极.wav]
4279-V	HSK 6	悲剧	bēijù	tragédie	悲剧人物 - bēijù rénwù - Personnage tragique<br>这是一个悲剧 - zhè shì yí gè bēijù - C'est une tragédie<br>悲剧结局 - bēijù jiéjú - Fin tragique	nom,littérature,émotion	[sound:hsk6_悲剧.wav]
4280-V	HSK 6	北美洲	Běiměizhōu	Amérique du Nord	北美洲国家 - Běiměizhōu guójiā - Pays d'Amérique du Nord<br>我去过北美洲 - wǒ qù guò Běiměizhōu - J'ai été en Amérique du Nord<br>北美洲文化 - Běiměizhōu wénhuà - Culture nord-américaine	nom,géographie,continent	[sound:hsk6_北美洲.wav]
