ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
2890-V	HSK 5	唉	ài	hélas, ah (soupir)	唉，真可惜 - ài, zhēn kěxī - Hélas, quel dommage<br>唉，没办法 - ài, méi bànfǎ - Hélas, on n'y peut rien<br>唉，又下雨了 - ài, yòu xiàyǔ le - Ah, il pleut encore	interjection,émotion,regret	[sound:hsk5_唉.wav]
2891-V	HSK 5	哎	āi	eh, hé (interpellation)	哎，你好！ - āi, nǐ hǎo! - Hé, salut !<br>哎，等一下 - āi, děng yíxià - Hé, attends<br>哎，你在吗？ - āi, nǐ zài ma? - Hé, tu es là ?	interjection,appel,attention	[sound:hsk5_哎.wav]
2892-V	HSK 5	爱护	àihù	prendre soin de, protéger	爱护环境 - àihù huánjìng - Protéger l'environnement<br>爱护动物 - àihù dòngwù - Prendre soin des animaux<br>要爱护公物 - yào àihù gōngwù - Il faut prendre soin des biens publics	verbe,protection,attention	[sound:hsk5_爱护.wav]
2893-V	HSK 5	哎呀	āiyā	oh là là, aïe	哎呀，忘了！ - āiyā, wàng le! - Oh là là, j'ai oublié !<br>哎呀，好痛 - āiyā, hǎo tòng - Aïe, ça fait mal<br>哎呀，怎么办 - āiyā, zěnme bàn - Oh là là, que faire	interjection,surprise,douleur	[sound:hsk5_哎呀.wav]
2894-V	HSK 5	暗	àn	sombre, obscur	天暗了 - tiān àn le - Il fait sombre<br>暗处 - ànchù - Endroit sombre<br>房间太暗 - fángjiān tài àn - La pièce est trop sombre	adjectif,lumière,état	[sound:hsk5_暗.wav]
2895-V	HSK 5	安	ān	paix, calme; installer	安心 - ānxīn - Tranquille, serein<br>平安 - píng'ān - Sain et sauf<br>安排 - ānpái - Organiser	nom,adjectif,verbe	[sound:hsk5_安.wav]
2896-V	HSK 5	安全带	ānquándài	ceinture de sécurité	系安全带 - jì ānquándài - Attacher sa ceinture<br>请系好安全带 - qǐng jì hǎo ānquándài - Veuillez attacher votre ceinture<br>安全带很重要 - ānquándài hěn zhòngyào - La ceinture de sécurité est importante	nom,transport,sécurité	[sound:hsk5_安全带.wav]
1389-V	HSK 5	安慰	ānwèi	consoler	安慰他 - ānwèi tā - le consoler<br>得到安慰 - dédào ānwèi - recevoir du réconfort<br>安慰的话 - ānwèi de huà - paroles apaisantes	verbe	[sound:hsk1_安慰.wav]
1512-V	HSK 5	安装	ānzhuāng	installer	安装软件 - ānzhuāng ruǎnjiàn - Installer un logiciel<br>安装程序 - ānzhuāng chéngxù - Installer un programme<br>安装完成 - ānzhuāng wánchéng - Installation terminée	technologie	[sound:hsk1_安装.wav]
2897-V	HSK 5	熬夜	áoyè	veiller tard, faire une nuit blanche	别熬夜 - bié áoyè - Ne veille pas trop tard<br>熬夜工作 - áoyè gōngzuò - Travailler tard dans la nuit<br>熬夜不好 - áoyè bù hǎo - Ce n'est pas bon de veiller tard	verbe,temps,sommeil	[sound:hsk5_熬夜.wav]
199-V	HSK 5	白	bái	blanc	白色 - báisè - blanc<br>白米饭 - bái mǐfàn - riz blanc<br>白天 - báitiān - jour<br>白开水 - bái kāishuǐ - eau bouillie<br>白衣服 - bái yīfu - vêtements blancs	couleur,quotidien	[sound:hsk1_白.wav]
2898-V	HSK 5	傍晚	bàngwǎn	crépuscule, fin d'après-midi	傍晚时分 - bàngwǎn shífēn - À la tombée de la nuit<br>傍晚很美 - bàngwǎn hěn měi - Le crépuscule est beau<br>傍晚去散步 - bàngwǎn qù sànbù - Se promener le soir	nom,temps,période	[sound:hsk5_傍晚.wav]
2899-V	HSK 5	半夜	bànyè	minuit, milieu de la nuit	半夜醒来 - bànyè xǐng lái - Se réveiller au milieu de la nuit<br>半夜三更 - bànyè sāngēng - En pleine nuit<br>都半夜了 - dōu bànyè le - Il est déjà minuit	nom,temps,nuit	[sound:hsk5_半夜.wav]
821-V	HSK 5	薄	báo	mince	很薄 - hěn báo - Très mince<br>纸很薄 - zhǐ hěn báo - Papier mince<br>薄衣服 - báo yīfu - Vêtements minces	adjectif	[sound:hsk1_薄.wav]
